date, pm25, pm10, o3, no2, so2, co
2022/7/18, 54, 18, , 14, , 3
2022/7/19, 38, 24, , 19, , 3
2022/7/20, 46, 16, , 16, , 3
2022/7/21, 39, 32, , 32, 1, 7
2022/7/22, 71, 55, , 49, 2, 13
2022/7/23, 125, 54, , 39, 2, 12
2022/7/24, 113, 53, , 34, 2, 12
2022/7/25, 125, 55, , 40, 2, 10
2022/7/26, 120, 58, , 30, 2, 10
2022/7/27, 116, 46, , 30, 1, 5
2022/7/28, 90, 62, , 44, 1, 11
2022/7/29, 117, 40, , 32, 1, 6
2022/7/30, 73, 19, , 13, , 3
2022/7/31, 45, 24, , 15, , 3
2022/8/1, 59, 40, , 33, 1, 8
2022/8/2, 85, 51, , 40, 2, 11
2022/8/3, 116, 49, , 32, 1, 8
2022/8/4, 101, 59, , 48, 2, 11
2022/8/5, 122, 50, , 31, 1, 6
2022/8/6, 82, 17, , 10, , 2
2022/8/7, 42, 16, , 13, , 4
2022/8/8, 42, 24, , 31, , 7
2022/8/9, 62, 25, , 24, , 6
2022/8/10, 60, 22, , 23, , 4
2022/8/11, 57, 11, , 13, , 2
2022/8/12, 20, 15, , 17, , 3
2022/8/13, 34, 26, , 22, , 4
2022/8/14, 56, 34, , 26, 1, 9
2022/8/15, 78, 44, , 42, 1, 8
2022/8/16, 84, 34, , 37, 1, 6
2022/8/17, 75, 3, , 32, 1, 7
2022/8/18, 69, 45, , 36, 1, 7
2022/8/19, 85, 11, , 9, , 1
2022/8/20, 30, 9, , 6, , 1
2022/8/21, 21, 9, , 6, , 1
2022/8/22, 25, 20, , 15, 1, 3
2022/8/23, 48, 30, , 17, 1, 3
2022/8/24, 66, 34, , 22, 1, 4
2022/8/25, 75, 37, , 27, 1, 5
2022/8/26, 79, 45, , 34, 1, 7
2022/8/27, 87, 48, , 39, 1, 10
2022/8/28, 96, 41, , 20, 1, 9
2022/8/29, 86, 8, , 8, , 1
2022/8/30, 22, 9, , 8, , 1
2022/8/31, 22, 19, , 17, 1, 3
2022/9/1, 42, 39, , 36, 1, 6
2022/9/2, 78, 58, , 45, 2, 10
2022/9/3, 111, 20, , 11, , 2
2022/9/4, 40, 9, , 3, , 1
2022/9/5, 27, 16, , 13, 1, 2
2022/9/6, 38, 20, , 17, , 3
2022/9/7, 47, 45, , 33, 1, 12
2022/9/8, 86, 68, , 51, 2, 17
2022/9/9, 127, 79, , 64, 2, 20
2022/9/10, 146, 46, , 26, 1, 7
2022/9/11, 90, 12, , 3, , 1
2022/9/12, 37, 21, , 15, , 3
2022/9/13, 52, 40, , 33, 1, 11
2022/9/14, 95, 24, , 25, , 6
2022/9/15, 61, 12, , 17, , 3
2022/9/16, 31, 10, , 11, , 1
