date, pm25, pm10, o3, no2, so2, co
2022/7/23, 85, , 52, 23, , 8
2022/7/24, 97, , 49, 18, , 5
2022/7/25, 95, , 42, 22, , 4
2022/7/26, 95, , 42, 19, , 4
2022/7/27, 95, , 36, 15, , 3
2022/7/28, 91, , 40, 17, , 5
2022/7/29, 94, , 19, 15, , 2
2022/7/30, 52, , 26, 8, , 1
2022/7/31, 36, , 37, 8, , 2
2022/8/1, 53, , 28, 19, , 4
2022/8/2, 72, , 37, 23, , 7
2022/8/3, 94, , 39, 21, , 5
2022/8/4, 93, , 35, 21, , 4
2022/8/5, 87, , 22, 17, , 4
2022/8/6, 64, , 22, 6, , 1
2022/8/7, 32, , 18, 9, , 3
2022/8/8, 44, , 20, 11, , 2
2022/8/9, 36, , 18, 12, , 3
2022/8/10, 54, , 20, 9, , 2
2022/8/11, 30, , 21, 7, , 1
2022/8/12, 18, , 22, 6, , 1
2022/8/13, 27, , 33, 10, , 2
2022/8/14, 52, , 43, 9, , 2
2022/8/15, 63, , 37, 12, , 2
2022/8/16, 59, , 35, 15, , 2
2022/8/17, 62, , 25, 14, , 2
2022/8/18, 51, , 31, 12, , 2
2022/8/19, 60, , 22, 5, , 1
2022/8/20, 20, , 23, 4, , 1
2022/8/21, 22, , 26, 4, , 1
2022/8/22, 25, , 27, 6, , 1
2022/8/23, 40, , 33, 8, , 1
2022/8/24, 57, , 33, 10, , 1
2022/8/25, 71, , 25, 13, , 2
2022/8/26, 72, , 33, 22, , 3
2022/8/27, 80, , 41, 18, , 3
2022/8/28, 74, , 37, 15, , 4
2022/8/29, 68, , 22, 5, , 1
2022/8/30, 15, , 21, 5, , 1
2022/8/31, 21, , 26, 8, , 1
2022/9/1, 31, , 37, 18, , 3
2022/9/2, 64, , 45, 18, , 3
2022/9/3, 79, , 33, 6, , 1
2022/9/4, 38, , 23, 3, , 1
2022/9/5, 21, , 18, 8, , 1
2022/9/6, 29, , 22, 10, , 1
2022/9/7, 45, , , , , 
2022/9/9, 83, , 46, 25, , 11
2022/9/10, 116, , 39, 18, , 8
2022/9/11, 94, , 24, 4, , 1
2022/9/12, 30, , 16, 9, , 1
2022/9/13, 47, , 20, 16, , 7
2022/9/14, 77, , 20, 15, , 3
2022/9/15, 44, , 17, 10, , 1
2022/9/16, 21, , 20, 7, , 1
2022/9/17, 22, , 25, 4, , 1
2022/9/18, 24, , 29, 4, , 1
2022/9/19, 33, , 42, 9, , 1
2022/9/20, 45, , 42, 11, , 2
2022/9/21, 53, , 34, 11, , 2
2022/9/22, 45, , 28, 13, , 3
2022/9/23, 49, , 29, 9, , 1
2022/9/24, 31, , 37, 7, , 1
2022/9/25, 39, , 31, 4, , 1
2022/9/26, 45, , 18, 14, , 3
2022/9/27, 40, , 24, 16, , 3
2022/9/28, 43, , 23, 11, , 1
2022/9/29, 24, , 24, 7, , 1
2022/9/30, 26, , 18, 11, , 2
2022/10/1, 34, , 29, 12, , 2
2022/4/2, 34, , 13, 8, , 1
2022/4/3, 30, , 17, 5, , 1
2022/4/4, 43, , 25, 3, , 1
2022/4/5, 55, , 17, 8, , 1
2022/4/6, 37, , 35, 7, , 1
2022/4/7, 57, , 31, 7, , 1
2022/4/8, 58, , 34, 9, , 1
2022/4/9, 58, , 38, 9, , 1
2022/4/10, 62, , 39, 5, , 1
2022/4/11, 56, , 36, 7, , 1
2022/4/12, 48, , 33, 13, , 2
2022/4/13, 65, , 22, 11, , 1
2022/4/14, 54, , 22, 5, , 1
2022/4/15, 41, , 23, 2, , 1
2022/4/16, 43, , 22, 3, , 1
2022/4/17, 36, , 15, 3, , 1
2022/4/18, 39, , , , , 
2022/4/20, 66, , 44, 10, , 1
2022/4/21, 69, , 47, 10, , 2
