date, pm25, pm10, o3, no2, so2, co
2022/7/18, 47, 16, , 26, 1, 6
2022/7/19, 43, 19, , 32, , 6
2022/7/20, 52, 14, , 27, , 6
2022/7/21, 40, 26, , 32, 1, 7
2022/7/22, 60, 39, , 47, 2, 11
2022/7/23, 85, 48, , 57, 2, 17
2022/7/24, 104, 42, , 42, 2, 14
2022/7/25, 98, 46, , 52, 3, 10
2022/7/26, 91, 47, , 46, 2, 10
2022/7/27, 97, 45, , 34, 1, 8
2022/7/28, 91, 55, , 40, 1, 11
2022/7/29, 97, 36, , 40, 1, 11
2022/7/30, 69, 18, , 30, , 8
2022/7/31, 44, 21, , 24, 1, 6
2022/8/1, 52, 33, , 40, 1, 10
2022/8/2, 75, 48, , 56, 2, 15
2022/8/3, 104, 43, , 43, 2, 12
2022/8/4, 97, 47, , 39, 1, 10
2022/8/5, 87, 42, , 44, 1, 11
2022/8/6, 77, 17, , 25, , 6
2022/8/7, 45, 16, , 20, , 6
2022/8/8, 44, 17, , 28, , 8
2022/8/9, 46, 22, , 31, 1, 8
2022/8/10, 60, 14, , 21, , 6
2022/8/11, 32, 12, , 28, , 7
2022/8/12, 31, 15, , 23, , 5
2022/8/13, 33, 21, , 25, , 6
2022/8/14, 52, 25, , 22, , 7
2022/8/15, 59, 31, , 30, , 7
2022/8/16, 60, 37, , 36, 1, 7
2022/8/17, 61, 31, , 38, , 9
2022/8/18, 61, 37, , 33, , 8
2022/8/19, 66, 13, , 30, , 7
2022/8/20, 33, 12, , 24, , 6
2022/8/21, 27, 11, , 20, , 6
2022/8/22, 31, 17, , 24, 1, 6
2022/8/23, 41, 25, , 31, 1, 7
2022/8/24, 61, 31, , 31, 1, 8
2022/8/25, 69, 35, , 31, 1, 8
2022/8/26, 71, 41, , 40, 2, 10
2022/8/27, 86, 35, , 36, 1, 9
2022/8/28, 73, 34, , 36, 1, 12
2022/8/29, 74, 9, , 29, 1, 8
2022/8/30, 24, 14, , 27, , 8
2022/8/31, 28, 17, , 27, 1, 7
2022/9/1, 35, 33, , 34, 1, 9
2022/9/2, 63, 45, , 45, 2, 11
2022/9/3, 82, 19, , 36, , 9
2022/9/4, 47, 11, , 21, , 7
2022/9/5, 24, 16, , 27, , 8
2022/9/6, 37, 19, , 27, , 8
2022/9/7, 50, , , , , 
2022/9/9, 86, 62, , 60, 1, 19
2022/9/10, 127, 63, , 47, 1, 19
2022/9/11, 94, 13, , 20, , 4
2022/9/12, 32, 19, , 23, , 6
2022/9/13, 51, 33, , 32, , 11
2022/9/14, 81, 19, , 35, , 10
2022/9/15, 53, 15, , 33, , 9
2022/9/16, 40, 15, , 32, , 8
2022/9/17, 37, 15, , 26, , 5
2022/9/18, 32, 14, , 17, 1, 4
2022/9/19, 32, 22, , 30, , 6
