date, pm25, pm10, o3, no2, so2, co
2022/7/10, 37, 35, 19, 20, 1, 
2022/7/11, 64, 45, 19, 23, 1, 
2022/7/12, 57, 31, 24, 11, , 
2022/7/13, 55, 14, 16, 12, , 
2022/7/14, 25, 19, 16, 15, , 
2022/7/15, 40, 35, 12, 22, , 
2022/7/16, 56, 48, 19, 26, 2, 
2022/7/17, 66, 28, 19, 12, 1, 
2022/7/18, 40, 10, 15, 7, , 
2022/7/19, 24, 6, 15, 8, , 
2022/7/20, 23, 6, 16, 5, , 
2022/7/21, 26, 20, 13, 18, , 
2022/7/22, 44, 30, 15, 18, , 
2022/7/23, 60, 40, 16, 25, 2, 
2022/7/24, 77, 37, 31, 15, , 
2022/7/25, 76, 37, 24, 18, 1, 
2022/7/26, 81, 29, 23, 16, 1, 
2022/7/27, 63, 27, 20, 13, 1, 
2022/7/28, 54, 43, 18, 28, 2, 
2022/7/29, 75, 29, 25, 10, 1, 
2022/7/30, 43, 21, 20, 12, 1, 
2022/7/31, 36, 20, 23, 15, 2, 
2022/8/1, 31, 28, 23, 17, 2, 
2022/8/2, 46, 37, 28, 18, 2, 
2022/8/3, 66, 34, 25, 20, 3, 
2022/8/4, 68, 45, 14, 30, 5, 
2022/8/5, 69, 34, 20, 18, 6, 
2022/8/6, 58, 23, 18, 17, 5, 
2022/8/7, 36, 9, 12, 14, 4, 
2022/8/8, 33, 12, 16, 17, 4, 
2022/8/9, 30, 14, 14, 19, 4, 
2022/8/10, 31, 20, 25, 12, 4, 
2022/8/11, 38, 15, 24, 5, 4, 
2022/8/12, 32, 16, 21, 16, 4, 
2022/8/13, 27, 28, 21, 19, 5, 
2022/8/14, 46, 32, 25, 20, 5, 
2022/8/15, 56, 41, 20, 27, 5, 
2022/8/16, 63, 37, 36, 19, 5, 
2022/8/17, 51, 27, 15, 24, 5, 
2022/8/18, 48, 32, 19, 22, 5, 
2022/8/19, 50, 9, 26, 4, 4, 
2022/8/20, 19, 14, 20, 14, 4, 
